domain,company,kind,source
canva.com,ScaleFocus,company,cncf-gitdm-single
capellamicro.com,Capella Microsystems,company,patch
capitalone.com,Capital One Financial,company,spinellis-sec
capsule8.com,Red Hat,company,cncf-gitdm-single
carbonblack.com,Carbon Black,company,spinellis-sec
cargill.com,Cargill,company,cncf-gitdm-single
cargomedia.ch,Cargo Media,company,cncf-gitdm-single
carlcaum.com,Puppet,company,cncf-gitdm-single
carllerche.com,Tilde,company,cncf-gitdm-single
carlstlaurent.com,Genetec,company,cncf-gitdm-single
carman.us.com,International Business Machines,company,cncf-gitdm-single
carnet.hr,CARNet,company,cncf-gitdm-single
