# Corpus manifest (TSV): name	url	category	file_filter	size_class
# generated 2026-09-14 by select_corpus.py sample — 400 projects drawn, target 400, seed 20261110
# Stratified by (stratum, language, size_class): a floor of 2 per cell, then largest-remainder proportional.
# size_class: S < 30k commits | M 30k-150k | L > 150k
texasinstruments__mesa	https://github.com/TexasInstruments/mesa.git	company-owned	\.[ch]$	L
nvidia__edk2	https://github.com/NVIDIA/edk2.git	company-owned	\.[ch]$	M
nvidia__qemu	https://github.com/NVIDIA/QEMU.git	company-owned	\.[ch]$	M
yugabyte__yugabyte-db	https://github.com/yugabyte/yugabyte-db.git	company-owned	\.[ch]$	M
amd__amd-fftw	https://github.com/amd/amd-fftw.git	company-owned	\.[ch]$	S
arm__newlib-cygwin-mirror	https://github.com/arm/newlib-cygwin-mirror.git	company-owned	\.[ch]$	S
aws__aws-iot-device-sdk-embedded-c	https://github.com/aws/aws-iot-device-sdk-embedded-C.git	company-owned	\.[ch]$	S
aws__aws-pgsql-odbc	https://github.com/aws/aws-pgsql-odbc.git	company-owned	\.[ch]$	S
awslabs__aws-c-http	https://github.com/awslabs/aws-c-http.git	company-owned	\.[ch]$	S
awslabs__s2n	https://github.com/aws/s2n-tls.git	company-owned	\.[ch]$	S
azure__azihsm-fw	https://github.com/Azure/azihsm-fw.git	company-owned	\.[ch]$	S
baidu__scs-redis	https://github.com/baidu/scs-redis.git	company-owned	\.[ch]$	S
canonical__rzv-drp-ai-tvm-snap	https://github.com/canonical/rzv_drp-ai_tvm_snap.git	company-owned	\.[ch]$	S
cisco__libacvp	https://github.com/cisco/libacvp.git	company-owned	\.[ch]$	S
cloudflare__rakelimit	https://github.com/cloudflare/rakelimit.git	company-owned	\.[ch]$	S
daos-stack__daos	https://github.com/daos-stack/daos.git	company-owned	\.[ch]$	S
facebookincubator__portal-kernel	https://github.com/facebookincubator/Portal-Kernel.git	company-owned	\.[ch]$	S
google__security-research	https://github.com/google/security-research.git	company-owned	\.[ch]$	S
intel__fsp	https://github.com/intel/FSP.git	company-owned	\.[ch]$	S
intel__isa-l-crypto	https://github.com/intel/isa-l_crypto.git	company-owned	\.[ch]$	S
intel__libipt	https://github.com/intel/libipt.git	company-owned	\.[ch]$	S
intel__qpl	https://github.com/intel/qpl.git	company-owned	\.[ch]$	S
mediatek__meta-filogic	https://github.com/mediatek/meta-filogic.git	company-owned	\.[ch]$	S
microsoft__powertoys	https://github.com/microsoft/PowerToys.git	company-owned	\.[ch]$	S
nvidia__g-assist	https://github.com/NVIDIA/G-Assist.git	company-owned	\.[ch]$	S
nxp__psa-crypto-driver	https://github.com/NXP/psa_crypto_driver.git	company-owned	\.[ch]$	S
renesas__trusted-firmware-m	https://github.com/renesas/trusted-firmware-m.git	company-owned	\.[ch]$	S
texasinstruments__mcupsdk-core-k3	https://github.com/TexasInstruments/mcupsdk-core-k3.git	company-owned	\.[ch]$	S
texasinstruments__mspm0-sdk	https://github.com/TexasInstruments/mspm0-sdk.git	company-owned	\.[ch]$	S
