# Corpus manifest (TSV): name	url	category	file_filter	size_class
# generated 2026-09-13 by select_corpus.py — 1972 projects; labels from control facts
# size_class: S < 30k commits | M 30k-150k | L > 150k
simdjson	https://github.com/simdjson/simdjson.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
tinyrenderer	https://github.com/ssloy/tinyrenderer.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
coreutils	https://github.com/uutils/coreutils.git	community	\.rs$	S
floci	https://github.com/floci-io/floci.git	community	\.java$	S
slint	https://github.com/slint-ui/slint.git	community	\.rs$	S
osquery	https://github.com/osquery/osquery.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
jdk	https://github.com/openjdk/jdk.git	community	\.java$	M
eza	https://github.com/eza-community/eza.git	community	\.rs$	S
maaassistantarknights	https://github.com/MaaAssistantArknights/MaaAssistantArknights.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
source-code-hunter	https://github.com/doocs/source-code-hunter.git	community	\.java$	S
neon	https://github.com/neondatabase/neon.git	community	\.rs$	S
pgvector	https://github.com/pgvector/pgvector.git	community	\.[ch]$	S
karabiner-elements	https://github.com/pqrs-org/Karabiner-Elements.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
oxc	https://github.com/oxc-project/oxc.git	community	\.rs$	S
bcc	https://github.com/iovisor/bcc.git	community	\.[ch]$	S
ratatui	https://github.com/ratatui/ratatui.git	community	\.rs$	S
vector	https://github.com/vectordotdev/vector.git	community	\.rs$	S
gitui	https://github.com/gitui-org/gitui.git	community	\.rs$	S
thingsboard	https://github.com/thingsboard/thingsboard.git	community	\.java$	S
rustpython	https://github.com/RustPython/RustPython.git	community	\.rs$	S
ds4	https://github.com/antirez/ds4.git	community	\.[ch]$	S
unleashed-firmware	https://github.com/DarkFlippers/unleashed-firmware.git	community	\.[ch]$	S
cap	https://github.com/CapSoftware/Cap.git	community	\.rs$	S
postgres	https://github.com/postgres/postgres.git	community	\.[ch]$	M
micropython	https://github.com/micropython/micropython.git	community	\.[ch]$	S
eladmin	https://github.com/elunez/eladmin.git	community	\.java$	S
gleam	https://github.com/gleam-lang/gleam.git	community	\.rs$	S
nnn	https://github.com/jarun/nnn.git	community	\.[ch]$	S
mimikatz	https://github.com/gentilkiwi/mimikatz.git	community	\.[ch]$	S
gitbutler	https://github.com/gitbutlerapp/gitbutler.git	community	\.rs$	M
ciphey	https://github.com/bee-san/Ciphey.git	community	\.rs$	S
video2x	https://github.com/k4yt3x/video2x.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
screenpipe	https://github.com/screenpipe/screenpipe.git	community	\.rs$	S
gsyvideoplayer	https://github.com/CarGuo/GSYVideoPlayer.git	community	\.java$	S
catch2	https://github.com/catchorg/Catch2.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
sonic	https://github.com/valeriansaliou/sonic.git	community	\.rs$	S
leptos	https://github.com/leptos-rs/leptos.git	community	\.rs$	S
cosmopolitan	https://github.com/jart/cosmopolitan.git	community	\.[ch]$	S
hikaricp	https://github.com/brettwooldridge/HikariCP.git	community	\.java$	S
xbmc	https://github.com/xbmc/xbmc.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
code	https://github.com/nikivdev/code.git	community	\.rs$	S
candle	https://github.com/huggingface/candle.git	community	\.rs$	S
wasmer	https://github.com/wasmerio/wasmer.git	community	\.rs$	S
goaccess	https://github.com/allinurl/goaccess.git	community	\.[ch]$	S
openlogi	https://github.com/AprilNEA/OpenLogi.git	community	\.rs$	S
cube	https://github.com/cube-js/cube.git	community	\.rs$	S
qmk_firmware	https://github.com/qmk/qmk_firmware.git	community	\.[ch]$	S
helium	https://github.com/imputnet/helium.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
ish	https://github.com/ish-app/ish.git	community	\.[ch]$	S
mybatis-3	https://github.com/mybatis/mybatis-3.git	community	\.java$	S
rustscan	https://github.com/bee-san/RustScan.git	community	\.rs$	S
dokit	https://github.com/didi/DoKit.git	community	\.java$	S
litemall	https://github.com/linlinjava/litemall.git	community	\.java$	S
translucenttb	https://github.com/TranslucentTB/TranslucentTB.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
blender	https://github.com/blender/blender.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	L
bend	https://github.com/HigherOrderCO/Bend.git	community	\.rs$	S
blackhole	https://github.com/ExistentialAudio/BlackHole.git	community	\.[ch]$	S
rpcs3	https://github.com/RPCS3/rpcs3.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
cutter	https://github.com/rizinorg/cutter.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
vlc	https://github.com/videolan/vlc.git	community	\.[ch]$	M
atmosphere	https://github.com/Atmosphere-NX/Atmosphere.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
jcode	https://github.com/1jehuang/jcode.git	community	\.rs$	S
yudao-cloud	https://github.com/YunaiV/yudao-cloud.git	community	\.java$	S
sandboxie	https://github.com/sandboxie-plus/Sandboxie.git	community	\.[ch]$	S
backgroundmusic	https://github.com/kyleneideck/BackgroundMusic.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
dbx	https://github.com/t8y2/dbx.git	community	\.rs$	S
